"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLL1PUS","194913","83963.42","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","195013","91870.77","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","195113","105768.006","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","195213","107071.241","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","195313","115897.204","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","195413","118384.671","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","195513","143759.195","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","195613","158278.996","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","195713","160769.232","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","195813","155724.17","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","195913","168423.221","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","196013","176685.359","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","196113","182185.128","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","196213","193315.869","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","196313","211332.494","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","196413","225425.457","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","196513","244788.119","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","196613","266476.823","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","196713","274184.533","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","196813","297779.069","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","196913","310640.917","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
"CLL1PUS","197013","320181.708","1","Coal Consumption for Electricity Generation, Electric Power Sector","Thousand Short Tons"
